CASP    Decoy               GDT.TS  TMscore.C
CASP12  T0859TS322_1        28.32   0.36
CASP12  T0859TS017_4        27.66   0.37
CASP12  T0859TS017_3        27.66   0.37
CASP12  T0859TS001_1        27.66   0.58
CASP12  T0859TS017_2        27.66   0.37
CASP12  T0859TS017_1        27.66   0.37
CASP12  T0859TS017_5        27.43   0.37
CASP12  T0859TS073_1        26.77   0.36
CASP12  T0859TS203_4        26.55   0.33
CASP12  T0859TS247_4        26.55   0.33
CASP12  T0859TS102_3        26.55   0.33
CASP12  T0859TS005_4        26.55   0.33
CASP12  T0859TS183_2        26.55   0.39
CASP12  T0859TS411_1        26.55   0.36
CASP12  T0859TS498_3        26.55   0.33
CASP12  T0859TS324_5        26.55   0.33
CASP12  T0859TS270_3        26.55   0.33
CASP12  T0859TS213_2        26.55   0.33
CASP12  T0859TS302_1        26.55   0.33
CASP12  T0859TS095_1        26.55   0.33
CASP12  T0859TS411_4        26.33   0.36
CASP12  T0859TS303_3        26.11   0.36
CASP12  T0859TS060_4        26.11   0.39
CASP12  T0859TS060_5        26.11   0.39
CASP12  T0859TS434_3        25.66   0.35
CASP12  T0859TS239_1        25.66   0.35
CASP12  T0859TS384_2        25.66   0.35
CASP12  T0859TS439_5        25.44   0.33
CASP12  T0859TS443_2        25.44   0.32
CASP12  T0859TS324_1        25.44   0.35
CASP12  T0859TS393_1        25.44   0.36
CASP12  T0859TS439_1        25.22   0.36
CASP12  T0859TS443_1        25.22   0.34
CASP12  T0859TS004_3        25.22   0.37
CASP12  T0859TS486_1        25.22   0.34
CASP12  T0859TS450_1        25.22   0.36
CASP12  T0859TS179_1        25.00   0.32
CASP12  T0859TS247_2        25.00   0.32
CASP12  T0859TS417_5        25.00   0.32
CASP12  T0859TS042_5        25.00   0.35
CASP12  T0859TS232_2        25.00   0.32
CASP12  T0859TS102_1        25.00   0.35
CASP12  T0859TS005_2        25.00   0.32
CASP12  T0859TS183_1        25.00   0.35
CASP12  T0859TS079_3        25.00   0.35
CASP12  T0859TS079_2        25.00   0.32
CASP12  T0859TS396_1        25.00   0.35
CASP12  T0859TS498_1        25.00   0.35
CASP12  T0859TS396_2        25.00   0.35
CASP12  T0859TS320_5        25.00   0.35
CASP12  T0859TS270_1        25.00   0.35
CASP12  T0859TS095_3        25.00   0.35
CASP12  T0859TS089_5        25.00   0.35
CASP12  T0859TS302_4        25.00   0.35
