Set     Target   Category  Domain
CASP13  T0953s2  FM        multi
CASP13  T0957s1  FM        multi
CASP13  T0960    FM        multi
CASP13  T0963    FM        multi
CASP13  T0976    TBM-easy  multi
CASP13  T0977    TBM-easy  multi
CASP13  T0981    FM        multi
CASP13  T0982    TBM-hard  multi
CASP13  T0984    FM        multi
CASP13  T0987    FM        multi
CASP13  T0989    FM        multi
CASP13  T0990    FM        multi
CASP13  T0996    TBM-easy  multi
CASP13  T0999    TBM-hard  multi
CASP13  T1000    FM        multi
CASP13  T1002    FM-sp     multi
CASP13  T1004    TBM-easy  multi
CASP13  T1011    TBM-hard  multi
CASP13  T1014    TBM-easy  multi
CASP13  T1021s3  FM        multi
CASP13  T1022s1  FM        multi
CASP13  T0949    FM/TBM    single
CASP13  T0950    FM        single
CASP13  T0951    TBM-easy  single
CASP13  T0953s1  FM        single
CASP13  T0954    TBM-hard  single
CASP13  T0955    FM/TBM    single
CASP13  T0957s2  FM        single
CASP13  T0958    FM/TBM    single
CASP13  T0959    TBM-hard  single
CASP13  T0961    TBM-easy  single
CASP13  T0962    TBM-easy  single
CASP13  T0964    TBM-hard  single
CASP13  T0965    TBM-hard  single
CASP13  T0966    TBM-hard  single
CASP13  T0967    TBM-easy  single
CASP13  T0968s1  FM        single
CASP13  T0968s2  FM        single
CASP13  T0969    FM        single
CASP13  T0970    FM/TBM    single
CASP13  T0971    TBM-easy  single
CASP13  T0973    TBM-easy  single
CASP13  T0974s1  TBM-easy  single
CASP13  T0974s2  not       single
CASP13  T0975    FM        single
CASP13  T0978    FM/TBM    single
CASP13  T0979    TBM-hard  single
CASP13  T0980s1  FM        single
CASP13  T0980s2  not       single
CASP13  T0983    TBM-easy  single
CASP13  T0985    TBM-hard  single
CASP13  T0986s1  FM/TBM    single
CASP13  T0986s2  FM        single
CASP13  T0991    FM        single
CASP13  T0992    FM/TBM    single
CASP13  T0993s1  TBM-easy  single
CASP13  T0993s2  TBM-easy  single
CASP13  T0995    TBM-easy  single
CASP13  T0997    FM/TBM    single
CASP13  T0998    FM        single
CASP13  T1001    FM        single
CASP13  T1003    TBM-easy  single
CASP13  T1005    FM/TBM    single
CASP13  T1006    TBM-easy  single
CASP13  T1008    FM/TBM    single
CASP13  T1009    TBM-hard  single
CASP13  T1010    FM        single
CASP13  T1013    TBM-easy  single
CASP13  T1015s1  FM        single
CASP13  T1015s2  TBM-hard  single
CASP13  T1016    TBM-easy  single
CASP13  T1017s1  TBM-easy  single
CASP13  T1017s2  FM        single
CASP13  T1018    TBM-easy  single
CASP13  T1019s1  FM/TBM    single
CASP13  T1019s2  TBM-easy  single
CASP13  T1020    TBM-easy  single
CASP13  T1021s1  TBM-hard  single
CASP13  T1021s2  TBM-hard  single
CASP13  T1022s2  TBM-hard  single
CASP12  T0859    FM        single
CASP12  T0860    TBM       single
CASP12  T0861    TBM       single
CASP12  T0862    FM        single
CASP12  T0863    FM        multi
CASP12  T0864    FM        single
CASP12  T0865    TBM       single
CASP12  T0866    FM        single
CASP12  T0867    TBM       single
CASP12  T0868    FM/TBM    single
CASP12  T0869    FM        single
CASP12  T0870    FM        single
CASP12  T0871    TBM       single
CASP12  T0872    TBM       single
CASP12  T0873    TBM       single
CASP12  T0874    FM/TBM    single
CASP12  T0875    FM/TBM    single
CASP12  T0876    FM/TBM    single
CASP12  T0877    TBM       single
CASP12  T0878    FM        single
CASP12  T0879    TBM       single
CASP12  T0880    FM        multi
CASP12  T0881    TBM       single
CASP12  T0882    TBM       single
CASP12  T0883    TBM       single
CASP12  T0884    FM/TBM    single
CASP12  T0885    TBM       single
CASP12  T0886    FM        multi
CASP12  T0887    FM/TBM    single
CASP12  T0888    FM        single
CASP12  T0889    TBM       single
CASP12  T0890    FM        multi
CASP12  T0891    TBM       single
CASP12  T0892    FM        multi
CASP12  T0893    TBM       multi
CASP12  T0894    FM        multi
CASP12  T0895    TBM       single
CASP12  T0896    FM        multi
CASP12  T0897    FM        multi
CASP12  T0898    FM        multi
CASP12  T0899    FM        single
CASP12  T0900    FM        single
CASP12  T0901    FM        multi
CASP12  T0902    TBM       single
CASP12  T0903    TBM       single
CASP12  T0904    FM        single
CASP12  T0905    FM        multi
CASP12  T0906    TBM       single
CASP12  T0907    FM        multi
CASP12  T0909    FM/TBM    single
CASP12  T0910    TBM       single
CASP12  T0911    TBM       single
CASP12  T0912    FM        multi
CASP12  T0913    TBM       single
CASP12  T0914    FM        multi
CASP12  T0915    FM        single
CASP12  T0917    TBM       single
CASP12  T0918    FM        multi
CASP12  T0920    TBM       multi
CASP12  T0921    TBM       single
CASP12  T0922    TBM       single
CASP12  T0923    FM        single
CASP12  T0928    TBM       single
CASP12  T0941    FM        single
CASP12  T0942    TBM       multi
CASP12  T0943    FM/TBM    multi
CASP12  T0944    TBM       single
CASP12  T0945    FM/TBM    single
CASP12  T0946    FM        multi
CASP12  T0947    TBM       single
CASP12  T0948    TBM       single
